Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
125	262	0	1.02453751	101324.975	101324.981	101324.972	101324.991	0.00595363893	0.00101324975	17	498.188	0	0	3
126	264	0	1.03273381	101324.976	101324.981	101324.972	101324.991	0.00571331388	0.00101324976	17.7	497.9	0	0	3
127	266	0	1.04093011	101324.98	101324.981	101324.972	101324.991	0.00561819796	0.0010132498	18	498.35	0	0	3
128	269	0	1.04912641	101324.984	101324.981	101324.972	101324.991	0.00555940229	0.00101324984	18.2	498.098	0	0	3
129	271	0	1.05732271	101324.985	101324.981	101324.972	101324.991	0.00546172503	0.00101324985	18.5	498.543	0	0	3
130	273	0	1.06551901	101324.987	101324.981	101324.972	101324.991	0.00539406974	0.00101324987	18.7	498.227	0	0	3
131	276	0	1.07371531	101324.986	101324.981	101324.972	101324.991	0.00536237685	0.00101324986	18.8	498.607	0	0	3
132	278	0	1.08191161	101324.986	101324.981	101324.972	101324.991	0.0053106462	0.00101324986	19	498.259	0	0	3
133	280	0	1.09010791	101324.982	101324.981	101324.972	101324.991	0.00517042015	0.00101324982	19.5	498.621	0	0	3
134	283	0	1.09830421	101324.982	101324.981	101324.972	101324.991	0.00493492869	0.00101324982	20.5	498.105	0	0	3
135	285	0	1.10650051	101324.98	101324.981	101324.972	101324.991	0.00457317452	0.0010132498	22.1	498.423	0	0	3
136	287	0	1.11469681	101324.982	101324.981	101324.972	101324.991	0.00423711971	0.00101324982	23.9	497.926	0	0	3
137	290	0	1.12289311	101324.979	101324.981	101324.972	101324.991	0.00384201898	0.00101324979	26.3	498.379	0	0	3
138	292	0	1.13108941	101324.981	101324.981	101324.972	101324.991	0.00352747613	0.00101324981	28.7	497.968	0	0	3
139	294	0	1.13928571	101324.981	101324.981	101324.972	101324.991	0.00327989552	0.00101324981	30.8	498.355	0	0	3
140	297	0	1.14748201	101324.984	101324.981	101324.972	101324.991	0.00313787979	0.00101324984	32.2	497.911	0	0	3
141	299	0	1.15567831	101324.983	101324.981	101324.972	101324.991	0.0031046189	0.00101324983	32.6	498.333	0	0	3
142	301	0	1.16387461	101324.984	101324.981	101324.972	101324.99	0.00306474938	0.00101324984	33	497.896	0	0	3
143	303	0	1.17207091	101324.981	101324.981	101324.972	101324.989	0.00293619663	0.00101324981	34.5	498.314	0	0	3
144	305	0	1.18026721	101324.981	101324.981	101324.972	101324.989	0.00270767888	0.00101324981	37.4	497.951	0	0	3
145	307	0	1.18846351	101324.98	101324.981	101324.972	101324.989	0.00241607288	0.0010132498	41.9	498.421	0	0	3
146	309	0	1.19665981	101324.979	101324.981	101324.972	101324.989	0.00210066051	0.00101324979	48.2	498.055	0	0	3
147	311	0	1.20485611	101324.983	101324.981	101324.974	101324.989	0.00180153802	0.00101324983	56.2	498.43	0	0	3
148	313	0	1.21305241	101324.983	101324.982	101324.974	101324.989	0.00153049488	0.00101324983	66.2	498.04	0	0	3
149	315	0	1.22124871	101324.982	101324.982	101324.974	101324.989	0.00130847601	0.00101324982	77.4	498.533	0	0	3
150	317	0	1.22944501	101324.983	101324.982	101324.974	101324.989	0.00113441785	0.00101324983	89.3	498.149	0	0	3
151	319	0	1.23764131	101324.982	101324.982	101324.974	101324.989	0.000980736484	0.00101324982	100	498.557	0	0	3
152	321	0	1.24583761	101324.984	101324.982	101324.974	101324.989	0.000980736484	0.00101324984	100	498.114	0	0	3
153	323	0	1.25403391	101324.979	101324.981	101324.974	101324.989	0.000980736484	0.00101324979	100	498.597	0	0	3
154	325	0	1.26223021	101324.977	101324.981	101324.974	101324.989	0.000980736484	0.00101324977	100	498.444	0	0	3
155	327	0	1.27042651	101324.977	101324.981	101324.974	101324.989	0.000980736484	0.00101324977	100	498.903	0	0	3
156	329	0	1.27862281	101324.979	101324.981	101324.974	101324.989	0.000980736484	0.00101324979	100	498.734	0	0	3
157	331	0	1.28681911	101324.983	101324.981	101324.974	101324.989	0.000980736484	0.00101324983	100	499.001	0	0	3
158	333	0	1.29501541	101324.985	101324.981	101324.974	101324.989	0.000980736484	0.00101324985	100	498.721	0	0	3
159	335	0	1.30321171	101324.984	101324.981	101324.974	101324.989	0.000980736484	0.00101324984	100	499.014	0	0	3
160	337	0	1.31140801	101324.982	101324.981	101324.974	101324.989	0.0009413964	0.00101324982	100	498.733	0	0	3
161	339	0	1.31960431	101324.978	101324.981	101324.974	101324.989	0.000907259295	0.00101324978	100	499.039	0	0	3
162	341	0	1.32780061	101324.979	101324.981	101324.974	101324.989	0.000907259295	0.00101324979	100	498.504	0	0	3
163	343	0	1.33599691	101324.979	101324.981	101324.974	101324.989	0.000907259295	0.00101324979	100	498.852	0	0	3
164	345	0	1.34419321	101324.981	101324.981	101324.974	101324.989	0.000907259295	0.00101324981	100	498.356	0	0	3
165	347	0	1.35238951	101324.982	101324.981	101324.974	101324.989	0.000907259295	0.00101324982	100	498.779	0	0	3
166	349	0	1.36058581	101324.986	101324.981	101324.974	101324.989	0.000907259295	0.00101324986	100	498.303	0	0	3
167	351	0	1.36878211	101324.986	101324.981	101324.974	101324.989	0.000907259295	0.00101324986	100	498.701	0	0	3
168	353	0	1.37697841	101324.987	101324.982	101324.974	101324.989	0.000907259295	0.00101324987	100	498.199	0	0	3
169	355	0	1.38517471	101324.984	101324.982	101324.975	101324.989	0.00103002044	0.00101324984	98.3	498.673	0	0	3
170	357	0	1.39337101	101324.984	101324.982	101324.975	101324.989	0.00112680667	0.00101324984	89.9	498.182	0	0	3
171	359	0	1.40156731	101324.981	101324.982	101324.975	101324.989	0.00117515743	0.00101324981	86.2	498.542	0	0	3
172	361	0	1.40976361	101324.98	101324.982	101324.975	101324.989	0.00117515743	0.0010132498	86.2	497.995	0	0	3
173	364	0	1.41795991	101324.976	101324.982	101324.975	101324.989	0.00117515743	0.00101324976	86.2	498.423	0	0	3
174	366	0	1.42615621	101324.975	101324.982	101324.975	101324.989	0.00117515743	0.00101324975	86.2	497.912	0	0	3
175	369	0	1.43435251	101324.973	101324.981	101324.973	101324.989	0.00117515743	0.00101324973	86.2	498.387	0	0	3
176	371	0	1.44254881	101324.976	101324.981	101324.973	101324.989	0.00117515743	0.00101324976	86.2	498.281	0	0	3
177	374	0	1.45074511	101324.98	101324.981	101324.973	101324.989	0.00116669235	0.0010132498	86.8	498.621	0	0	3
178	376	0	1.45894141	101324.984	101324.981	101324.973	101324.989	0.00116669235	0.00101324984	86.8	498.347	0	0	3
179	378	0	1.46713771	101324.986	101324.982	101324.973	101324.989	0.00116669235	0.00101324986	86.8	498.727	0	0	3
180	381	0	1.47533401	101324.986	101324.982	101324.973	101324.989	0.00116669235	0.00101324986	86.8	498.414	0	0	3
181	383	0	1.48353031	101324.981	101324.982	101324.973	101324.989	0.00116669235	0.00101324981	86.8	498.717	0	0	3
182	385	0	1.49172662	101324.979	101324.982	101324.973	101324.989	0.00116669235	0.00101324979	86.8	498.353	0	0	3
183	388	0	1.49992292	101324.978	101324.981	101324.973	101324.987	0.00116669235	0.00101324978	86.8	498.842	0	0	3
184	390	0	1.50811922	101324.976	101324.981	101324.973	101324.987	0.00116669235	0.00101324976	86.8	498.638	0	0	3
185	392	0	1.51631552	101324.979	101324.981	101324.973	101324.987	0.00116669235	0.00101324979	86.8	499.148	0	0	3
186	394	0	1.52451182	101324.982	101324.981	101324.973	101324.987	0.00116669235	0.00101324982	86.8	499.032	0	0	3
187	396	0	1.53270812	101324.985	101324.981	101324.973	101324.987	0.00116669235	0.00101324985	86.8	499.487	0	0	3
188	398	0	1.54090442	101324.985	101324.982	101324.973	101324.987	0.00109091653	0.00101324985	92.8	499.337	0	0	3
189	400	0	1.54910072	101324.98	101324.982	101324.973	101324.987	0.00100543151	0.0010132498	100	499.69	0	0	3
